,Book Name,Book Address
1,從死亡之旅開始的異世界狂想曲,https://www.dm5.com/manhua-congsiwangzhilvkaishideyishijiekuangxiangqu/
2,在異世界迷宮開後宮,https://www.dm5.com/manhua-zaiyishijiemigongkaihougong/
3,聖女的魔力是萬能的,http://www.dm5.com/manhua-shengnvdemolishiwannengde/
4,迷宮飯,http://www.dm5.com/manhua-migongfan/
5,理想的小白臉生活,http://www.dm5.com/manhua-lixiangdexiaobailianshenghuo/
6,異世界藥局,http://www.dm5.com/manhua-yishijieyaoju/
7,強者的新傳說,http://www.dm5.com/manhua-jiangzhedexinchuanshui/
8,月光下的異世界之旅,http://www.dm5.com/manhua-yueguangxiadeyishijiezhilv/
9,無職轉生,http://www.dm5.com/manhua-wuzhizhuansheng/
10,Fate_stay night Heavens Feel,http://www.dm5.com/manhua-fate-stay-night-heavens-feel/
11,成為魔王的方法,http://www.dm5.com/manhua-chengweimowangdefangfa/
12,哥布林殺手,http://www.dm5.com/manhua-gebulinshashou/
13,哥布林殺手外傳：第一年,http://www.dm5.com/manhua-gebulinshashouwaichuan-diyinian/
14,沃特尼亞戰記,http://www.dm5.com/manhua-woteniyazhanji/
15,平凡職業成就世界最強,http://www.dm5.com/manhua-pingfanzhiyechengjiushijiezuiqiang/
16,異世界悠閒農家,http://www.dm5.com/manhua-yishijieyouxiannongjia/
17,異世界建國記,http://www.dm5.com/manhua-yishijiejianguoji/
18,骸骨騎士大人異世界冒險中,https://www.dm5.com/manhua-haiguqishidarenyishijiemaoxianzhong/
19,異世界和智能手機在一起,http://www.dm5.com/manhua-yishijiehezhinengshoujizaiyiqi/
20,轉生貴族的異世界冒險錄,http://www.dm5.com/manhua-zhuanshengguizudeyishijiemaoxianlu/
21,轉生豬公爵，這次想說喜歡你,http://www.dm5.com/manhua-zhuanshengzhugongjue-zhecixiangshuoxihuanni/
22,關於我的房間成為了地下城的休息點的事情,http://www.dm5.com/manhua-guanyuwodefangjianchengweiledixiachengdexiuxidiandeshiqing/
23,狂怒的暴食 ～隻有我突破了等級這概念～,http://www.dm5.com/manhua-kuangnudebaoshi--zhiyouwotupoledengjizhegainian/
24,聖者無雙,http://www.dm5.com/manhua-shengzhewushuang/
25,World Trigger,http://www.dm5.com/manhua-world-trigger/
26,轉生成為魔劍,http://www.dm5.com/manhua-zhuanshengchengweimojian/
27,盤踞於淫邪宗教之物,http://www.dm5.com/manhua-panjuyuyinxiezongjiaozhiwu/
28,網購技能開啟異世界美食之旅,https://www.dm5.com/manhua-wanggoujinengkaiqiyishijiemeishizhilv/
29,網購技能開啟異世界美食之旅 水水的大冒險,https://www.dm5.com/manhua-wanggoujinengkaiqiyishijiemeishizhilv-shuishuidedamaoxian/
30,神眼勇者,https://www.dm5.com/manhua-shenyanyongzhe/
31,失格紋的最強賢者～世界最強的賢者為了變得更強而轉生了～,http://www.dm5.com/manhua-shigewendezuijiangxianzhe-shijiezuijiangdexianzheweilebiandegengqiangerzhuanshengle/
32,殲滅魔導的最強賢者 無才的賢者，窮極魔導登峰造極,http://www.dm5.com/manhua-jianmiemodaodezuiqiangxianzhe-wucaidexianzhe-qiongjimodaodengfengzaoji/
33,在邊境悠閒地度日,https://www.dm5.com/manhua-zaibianjingyouxiandiduri/
34,轉生之後 我想要在田園過慢生活,https://www.dm5.com/manhua-zhuanshengzhihou-woxiangyaozaitianyuanguomanshenghuo/
35,異世界回歸勇者在現代無雙！,http://www.dm5.com/manhua-yishijiehuiguiyongzhezaixiandaiwushuang/
36,回歸勇者後日談,https://www.dm5.com/manhua-huiguiyongzhehouritan/
37,從Lv2開始開掛的原勇者候補悠閒的異世界生活,http://www.dm5.com/manhua-cong-lv-2-kaishikaiguadeyuanyongzhehoubuyouxiandeyishijieshenghuo/
38,被召喚的賢者闖蕩異世界,https://www.dm5.com/manhua-beizhaohuandexianzhechuangdangyishijie
39,精靈來日,http://www.dm5.com/manhua-jinglinglairi/
